DEC alternative conversion factor (LCU per US$),Fertility rate, total (births per woman),GDP (constant LCU),GDP (current LCU),GDP (current US$),GDP at market prices (constant 2010 US$),GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita (current LCU),GDP per capita (current US$),GDP per capita, PPP (constant 2011 international $),GDP per capita, PPP (current international $),GDP, PPP (constant 2011 international $),GDP, PPP (current international $),GNI (current LCU),GNI per capita (current LCU),GNI per capita, Atlas method (current US$),GNI per capita, PPP (current international $),General government total expenditure (current LCU),Life expectancy at birth, total (years),Mortality rate, infant (per 1,000 live births),Official exchange rate (LCU per US$, period average),PPP conversion factor, GDP (LCU per international $),PPP conversion factor, private consumption (LCU per international $),Population aged 14 years or younger (thousands),Population aged 15-24 years (thousands),Population aged 25-64 years (thousands) ,Population aged 65 years or older (thousands),Population growth (annual %),Poverty headcount ratio at $3.20 a day (PPP) (% of population),Prevalence of HIV, total (% of population ages 15-49),Price level ratio of PPP conversion factor (GDP) to market exchange rate,Rural population (% of total population),Total debt service (% of GNI),Total population (thousands),
NOR,8.1,1.6,3259053000000,3530860000000,434166615432,489331167946,108.3,1.3,664706,81734,63333,67640,336418513061,359298961716,3681532000000,693070,80640,70530,1738497000000,83,2,8.1,9.83,10.7,937,678,2814,910,0.7,NaN,NaN,1.2,18,NaN,5338,
NPL,104.4,1.9,887816657494,3044927121985,29173513476,22969698990,343,6.7,108407,1039,3253,3329,91362635001,93518511731,3067542062632,109212,970,3350,967634000000,70,27,108.9,32.56,31,8545,6324,11617,1609,1.7,NaN,0.1,0.3,80,0.8,28096,
NRU,1.3,NaN,87000000,160000000,124021394,103452832,183.9,6.1,12594,9762,11487,11758,145931311,149374840,214600000,16892,12040,15770,155000000,NaN,26,1.3,1.07,NaN,4,2,5,,-1.3,NaN,NaN,0.8,,NaN,11,
NZL,1.4,1.7,282428928400,300499000000,207920613962,187654516440,106.4,3.8,62074,42950,42635,42811,206397090592,207247264396,284655000000,58801,41100,40550,108383000000,82,4,1.4,1.45,1.6,932,640,2428,742,1,NaN,0.1,1,13,NaN,4743,
OMN,0.4,2.9,29333500000,30481400000,79275422627,74216920784,103.9,1.8,6312,16415,28594,29269,138093417600,141351996838,28451400000,5891,14160,27320,13836000000,78,10,0.4,0.22,0.2,1074,635,3005,116,3.4,NaN,0.1,0.6,15,NaN,4829,
PAK,110,3.5,13133003000000,34616302000000,314567541558,254215069088,263.6,5.8,163119,1482,4740,4852,1005850179831,1029585145405,36462453000000,171818,1590,5110,7488322000000,67,57,121.8,33.62,34.1,74853,41935,86288,9153,2.1,NaN,0.1,0.3,63,1.8,212228,
PAN,1,2.5,41804300000,65128200000,65128200000,49099622329,155.8,3.7,15593,15593,31049,31782,129688478713,132748727286,60205907200,14414,14420,29380,14914000000,78,13,1,0.49,0.5,1130,692,2016,339,1.7,5.2,NaN,0.5,32,NaN,4177,
PER,3.3,2.3,534665000000,729773000000,222044970486,206444599748,136.5,4,22813,6941,12782,13084,408898708709,418547458561,693919000000,21692,6470,12440,158601000000,77,11,3.3,1.74,1.9,8250,5288,15863,2587,1.7,8.5,0.3,0.5,22,3.4,31989,
PHL,52.7,2.6,18265190258162,18265190258162,346841896890,340302643538,100,6.3,171260,3252,8516,8717,908257834445,929689921316,20212348916169,189517,3710,9650,3808374000000,71,22,52.7,19.65,19.9,33023,20338,47827,5463,1.4,NaN,0.1,0.4,53,2.3,106651,
PLW,1,NaN,277318200,283994900,283994900,219543819,102.4,1.7,15859,15859,18070,18496,323580178,331215674,299361900,16718,17280,19500,109000000,NaN,16,1,0.86,NaN,4,2,10,2,0.6,NaN,NaN,0.9,20,NaN,18,
